candle_begin_time,open,high,low,close,volume
2020-03-29 00:00:00,6236.65,6266.0,6214.12,6224.49,590.043186
2020-03-29 00:15:00,6225.0,6239.0,6209.72,6222.4,498.406547
2020-03-29 00:30:00,6222.6,6230.0,6200.06,6200.19,299.704415
2020-03-29 00:45:00,6200.2,6216.57,6192.0,6212.88,397.715976
2020-03-29 01:00:00,6210.6,6216.8,6187.1,6201.53,395.206128
2020-03-29 01:15:00,6201.52,6207.39,6192.23,6201.51,236.820264
2020-03-29 01:30:00,6201.8,6202.87,6186.2,6194.26,229.113723
2020-03-29 01:45:00,6192.89,6228.56,6186.69,6216.83,330.251895
2020-03-29 02:00:00,6215.77,6228.57,6209.89,6221.33,238.380716
2020-03-29 02:15:00,6221.33,6225.55,6210.67,6214.99,177.189314
2020-03-29 02:30:00,6215.0,6217.0,6198.66,6200.41,116.408424
2020-03-29 02:45:00,6200.31,6212.11,6196.51,6199.37,186.501088
2020-03-29 03:00:00,6199.37,6203.73,6188.0,6197.82,208.87948
2020-03-29 03:15:00,6197.34,6208.83,6195.94,6197.06,297.198293
2020-03-29 03:30:00,6197.11,6204.28,6177.78,6204.13,310.806952
2020-03-29 03:45:00,6203.46,6216.56,6200.0,6202.95,287.320299
2020-03-29 04:00:00,6203.93,6207.49,6185.09,6196.89,199.440999
2020-03-29 04:15:00,6196.89,6200.0,6190.09,6198.93,105.860169
2020-03-29 04:30:00,6197.97,6213.5,6195.09,6197.91,130.397915
2020-03-29 04:45:00,6198.55,6207.47,6196.7,6203.0,110.055416
2020-03-29 05:00:00,6203.0,6203.0,6192.04,6193.05,135.951265
2020-03-29 05:15:00,6192.65,6196.79,6160.0,6180.02,620.940367
2020-03-29 05:30:00,6180.02,6196.91,6173.46,6178.0,242.563777
2020-03-29 05:45:00,6178.0,6185.0,6145.28,6146.71,510.618941
2020-03-29 06:00:00,6146.7,6164.97,6131.0,6142.65,534.626755
2020-03-29 06:15:00,6142.13,6165.94,6140.0,6164.22,312.169882
2020-03-29 06:30:00,6164.22,6165.94,6146.02,6150.35,242.209983
2020-03-29 06:45:00,6151.77,6158.54,6145.22,6152.82,171.154287
2020-03-29 07:00:00,6152.1,6172.09,6151.59,6161.03,345.740213
2020-03-29 07:15:00,6160.99,6167.57,6151.87,6158.54,279.294268
2020-03-29 07:30:00,6158.56,6158.56,6126.0,6128.18,523.609275
2020-03-29 07:45:00,6129.51,6155.24,6116.0,6153.9,868.859069
2020-03-29 08:00:00,6153.6,6154.27,6100.0,6110.95,1036.709638
2020-03-29 08:15:00,6110.75,6126.29,6093.6,6109.68,971.724208
2020-03-29 08:30:00,6109.18,6130.0,6097.06,6118.0,481.135541
2020-03-29 08:45:00,6117.99,6135.36,6110.18,6132.4,360.854073
2020-03-29 09:00:00,6132.44,6134.5,6110.18,6126.2,347.548651
2020-03-29 09:15:00,6126.25,6131.15,6104.95,6114.99,658.48304
2020-03-29 09:30:00,6114.99,6124.05,6107.24,6112.95,216.221345
2020-03-29 09:45:00,6112.66,6116.01,6082.6,6088.37,710.433679
2020-03-29 10:00:00,6088.02,6116.68,6086.0,6111.81,478.211599
2020-03-29 10:15:00,6111.68,6120.6,6105.53,6109.63,535.332745
2020-03-29 10:30:00,6109.63,6109.64,6090.0,6096.26,368.986547
2020-03-29 10:45:00,6096.39,6210.0,6094.37,6171.09,2264.892585
2020-03-29 11:00:00,6171.09,6191.8,6144.5,6154.14,1269.845373
2020-03-29 11:15:00,6153.67,6159.05,6140.01,6150.59,771.134942
2020-03-29 11:30:00,6150.24,6165.0,6149.89,6158.44,463.113759
2020-03-29 11:45:00,6158.41,6159.99,6131.44,6138.35,743.147735
2020-03-29 12:00:00,6138.36,6139.81,6067.6,6105.53,1797.677496
2020-03-29 12:15:00,6105.53,6119.81,6091.82,6099.51,452.498305
2020-03-29 12:30:00,6099.05,6154.0,6088.88,6135.32,769.520204
2020-03-29 12:45:00,6136.57,6155.0,6114.84,6122.16,584.440409
2020-03-29 13:00:00,6122.44,6125.07,6106.13,6117.32,526.130463
2020-03-29 13:15:00,6118.01,6131.82,6096.0,6107.21,468.034269
2020-03-29 13:30:00,6107.22,6116.15,6098.0,6106.0,559.803959
2020-03-29 13:45:00,6106.0,6139.4,6105.99,6123.46,450.609508
2020-03-29 14:00:00,6123.45,6136.71,6109.0,6118.94,532.726601
2020-03-29 14:15:00,6118.91,6129.98,6111.62,6128.32,256.339758
2020-03-29 14:30:00,6127.64,6150.0,6127.09,6138.86,560.216921
2020-03-29 14:45:00,6138.85,6149.85,6132.58,6142.89,410.722137
2020-03-29 15:00:00,6143.0,6147.0,6125.87,6132.37,433.899131
2020-03-29 15:15:00,6132.37,6140.37,6115.62,6117.39,433.866352
2020-03-29 15:30:00,6117.39,6129.0,6115.72,6126.73,332.776
2020-03-29 15:45:00,6126.89,6138.22,6121.06,6129.79,360.272507
2020-03-29 16:00:00,6129.91,6135.0,6114.64,6130.58,383.420093
2020-03-29 16:15:00,6130.29,6164.94,6090.94,6093.63,1668.68092
2020-03-29 16:30:00,6095.35,6112.08,6060.0,6068.8,1680.378454
2020-03-29 16:45:00,6068.8,6099.0,6068.07,6085.36,848.432379
2020-03-29 17:00:00,6085.37,6095.68,6060.0,6080.94,827.804794
2020-03-29 17:15:00,6081.08,6092.0,6073.76,6088.99,432.964636
2020-03-29 17:30:00,6089.0,6120.0,6080.18,6094.58,604.341538
2020-03-29 17:45:00,6094.58,6116.51,6090.0,6103.78,523.134778
2020-03-29 18:00:00,6103.71,6103.96,6088.0,6093.36,435.530155
2020-03-29 18:15:00,6093.45,6103.37,6084.3,6090.91,354.681068
2020-03-29 18:30:00,6090.87,6099.79,6084.67,6088.97,337.67455
2020-03-29 18:45:00,6089.15,6093.0,6060.0,6063.79,845.843169
2020-03-29 19:00:00,6064.23,6090.91,6061.46,6076.26,465.550774
2020-03-29 19:15:00,6076.28,6079.95,6051.99,6065.51,582.552287
2020-03-29 19:30:00,6064.92,6065.5,5892.0,5917.13,7462.920843
2020-03-29 19:45:00,5917.13,5952.9,5885.47,5905.29,2300.225875
2020-03-29 20:00:00,5906.39,5949.0,5890.05,5930.91,1220.889712
2020-03-29 20:15:00,5934.21,5934.21,5866.56,5889.91,1509.472517
2020-03-29 20:30:00,5889.71,5963.93,5880.0,5935.9,1348.85073
2020-03-29 20:45:00,5936.37,5950.83,5910.01,5947.83,857.089631
2020-03-29 21:00:00,5948.21,5951.09,5901.85,5932.05,685.302221
2020-03-29 21:15:00,5932.66,5934.67,5914.17,5925.03,307.098403
2020-03-29 21:30:00,5925.03,5937.29,5895.22,5910.2,484.771596
2020-03-29 21:45:00,5911.06,5921.61,5892.98,5895.2,626.28414
2020-03-29 22:00:00,5895.21,5935.0,5875.0,5918.86,1178.111523
2020-03-29 22:15:00,5918.5,5936.0,5915.54,5932.29,530.904786
2020-03-29 22:30:00,5932.53,5944.12,5920.78,5924.14,530.479726
2020-03-29 22:45:00,5925.0,5930.0,5897.02,5918.24,652.938786
2020-03-29 23:00:00,5919.08,5932.67,5905.75,5920.84,515.077512
2020-03-29 23:15:00,5921.58,5934.14,5912.65,5916.57,479.496889
2020-03-29 23:30:00,5916.57,5922.7,5897.71,5911.46,719.334816
2020-03-29 23:45:00,5912.23,5918.85,5875.0,5881.42,1170.639652
