candle_begin_time,close,每次投入资金,累计投入资金,每次买币数量,累计买币数量,平均持有成本,币市值
2017-09-17,0.62524,100,7900,159.61870641673596,5790.953804115941,1.3641966880110572,3620.7359564854514
2017-09-18,0.70372,100,8000,141.81776843062582,5932.771572546567,1.348442275616909,4175.01001103247
2017-09-19,0.64635,100,8100,154.4055078517831,6087.17708039835,1.3306660695124592,3934.4469059154735
2017-09-20,0.60445,100,8200,165.1087765737447,6252.285856972095,1.3115203283381478,3779.194186246783
2017-09-21,0.5423,100,8300,184.03097916282502,6436.31683613492,1.2895573992569704,3490.414620235967
2017-09-22,0.56642,100,8400,176.19434342007696,6612.5111795549965,1.2703192133680894,3745.458582323541
2017-09-23,0.5739,100,8500,173.8978916187489,6786.409071173745,1.25250333583706,3894.7201659466123
2017-09-24,0.54304,100,8600,183.78020035356514,6970.189271527311,1.2338258926669812,3785.0915820101905
2017-09-25,0.5654,100,8700,176.51220374955784,7146.701475276868,1.2173448170595311,4040.7450141215413
2017-09-26,0.554,100,8800,180.14440433212994,7326.845879608998,1.201062523300902,4059.0726173033854
2017-09-27,0.63226,100,8900,157.84645557207477,7484.692335181073,1.1890936329027728,4732.271575841585
2017-09-28,0.80666,100,9000,123.72003074405572,7608.412365925128,1.1829011845240154,6137.401919097164
2017-09-29,0.715,100,9100,139.5804195804196,7747.9927855055475,1.17449773792042,5539.814841636467
2017-09-30,0.72331,100,9200,137.9768010949662,7885.969586600514,1.1666288969250183,5704.000661684018
2017-10-01,0.70733,100,9300,141.09397311014658,8027.06355971066,1.1585805856426061,5677.782867690142
2017-10-02,0.65335,100,9400,152.75120532639474,8179.814765037055,1.1491702770799135,5344.281976736959
2017-10-03,0.6325,100,9500,157.78656126482215,8337.601326301878,1.139416437438812,5273.532838885937
2017-10-04,0.60199,100,9600,165.7834847754946,8503.384811077372,1.1289621972057604,5118.952622420467
2017-10-05,0.60563,100,9700,164.78708122120767,8668.17189229858,1.1190364151197982,5249.704943132789
2017-10-06,0.59901,100,9800,166.60823692425836,8834.780129222838,1.1092522798144688,5292.121645205772
2017-10-07,0.58789,100,9900,169.75964891391246,9004.53977813675,1.0994454179698834,5293.678890168814
2017-10-08,0.60439,100,10000,165.12516752428067,9169.66494566103,1.090552387601891,5542.05379650807
2017-10-09,0.555,100,10100,179.8198198198198,9349.484765480851,1.080273432530755,5188.964044841873
2017-10-10,0.55301,100,10200,180.46689933274263,9529.951664813594,1.0703097307051779,5270.158570158565
2017-10-11,0.6138,100,10300,162.593678722711,9692.545343536305,1.0626723564279006,5949.284331862585
2017-10-12,0.59,100,10400,169.15254237288138,9861.697885909187,1.0545851353710562,5818.40175268642
2017-10-13,0.58169,100,10500,171.56904880606507,10033.266934715251,1.0465185535600419,5836.251043254515
2017-10-14,0.5808,100,10600,171.831955922865,10205.098890638117,1.038696451018633,5927.1214356826185
2017-10-15,0.57163,100,10700,174.58845756870704,10379.687348206824,1.030859566482849,5933.340678855467
2017-10-16,0.5586,100,10800,178.6609380594343,10558.348286266259,1.0228872648620684,5897.893352708332
2017-10-17,0.55161,100,10900,180.92492884465472,10739.273215110914,1.01496626276934,5923.890498187332
2017-10-18,0.54053,100,11000,184.63360035520694,10923.906815466122,1.0069657482271952,5904.699350963902
2017-10-19,0.5669,100,11100,176.04515787616864,11099.951973342291,1.0000043267446403,6292.562773687744
2017-10-20,0.53531,100,11200,186.43402888046182,11286.386002222753,0.9923459996667011,6041.715290849861
2017-10-21,0.52399,100,11300,190.46165003148917,11476.847652254242,0.9845909209904423,6013.7534013047
2017-10-22,0.5177,100,11400,192.77573884489087,11669.623391099134,0.976895279130877,6041.364029572022
2017-10-23,0.49408,100,11500,201.9915803108808,11871.614971410016,0.9686971846454789,5865.527525074261
2017-10-24,0.51227,100,11600,194.81913834501339,12066.43410975503,0.9613444945281768,6181.272201404209
2017-10-25,0.5054,100,11700,197.46735259200634,12263.901462347036,0.9540194069498731,6198.175799070192
2017-10-26,0.51351,100,11800,194.3486981753033,12458.250160522339,0.9471635139733989,6397.436039929827
2017-10-27,0.5215,100,11900,191.37104506232026,12649.621205584659,0.9407396321675063,6596.7774587123995
2017-10-28,0.53539,100,12000,186.40617120230112,12836.02737678696,0.9348686823230951,6872.280697257971
2017-10-29,0.6651,100,12100,150.0526236656142,12986.080000452574,0.9317669381043631,8637.041808301006
2017-10-30,0.713,100,12200,139.97194950911643,13126.05194996169,0.9294493154916705,9358.875040322684
2017-10-31,0.78237,100,12300,127.56112836637396,13253.613078328064,0.9280488216539695,10369.229264091528
2017-11-01,1.0416,100,12400,95.81413210445467,13349.42721043252,0.9288788053999392,13904.763382386513
2017-11-02,1.116,100,12500,89.42652329749103,13438.85373373001,0.9301388531840634,14997.760766842692
2017-11-03,1.195,100,12600,83.51464435146443,13522.368378081474,0.931789435674852,16159.230211807362
2017-11-04,1.1115,100,12700,89.78857399910032,13612.156952080573,0.9329895360969113,15129.912452237557
2017-11-05,1.0896,100,12800,91.59324522760647,13703.75019730818,0.9340508850281215,14931.606214986992
2017-11-06,0.91532,100,12900,109.03290652449417,13812.783103832675,0.9339175098189009,12643.116630600125
2017-11-07,0.9528,100,13000,104.7439126784215,13917.527016511096,0.9340739906290403,13260.619741331771
2017-11-08,1.1347,100,13100,87.9527628448048,14005.479779355901,0.9353481784543661,15892.01790563514
2017-11-09,1.1732,100,13200,85.06648482782134,14090.546264183722,0.9367983151620337,16531.028877140343
2017-11-10,1.0281,100,13300,97.07226923451026,14187.618533418232,0.937437101841476,14586.290614207284
2017-11-11,1.16,100,13400,86.0344827586207,14273.653016176853,0.9387926121514436,16557.43749876515
2017-11-12,1.0872,100,13500,91.79543782192789,14365.44845399878,0.9397548599495428,15618.115559187474
2017-11-13,1.1825,100,13600,84.39746300211415,14449.845917000895,0.9411865066325024,17086.94279685356
2017-11-14,1.6624,100,13700,60.033686236766115,14509.879603237661,0.9441842644196063,24121.22385242229
2017-11-15,1.6651,100,13800,59.93634015975016,14569.81594339741,0.9471636466522236,24260.20052735103
2017-11-16,1.6717,100,13900,59.69970688520668,14629.515650282618,0.9501339847660285,24456.161312577453
2017-11-17,1.7364,100,14000,57.47523612070952,14686.990886403328,0.9532245310345144,25502.490975150737
2017-11-18,1.9109,100,14100,52.22669946098697,14739.217585864315,0.9566315116701066,28165.17088482812
2017-11-19,1.8791,100,14200,53.110531637486034,14792.328117501802,0.9599570728287876,27796.263765597636
2017-11-20,1.9921,100,14300,50.09788665227649,14842.426004154078,0.9634543568549868,29567.59684287534
2017-11-21,1.91,100,14400,52.25130890052356,14894.677313054603,0.9667883162113866,28448.83366793429
2017-11-22,1.8852,100,14500,52.93868024612773,14947.615993300731,0.9700543555907949,28179.245670570537
2017-11-23,1.87,100,14600,53.36898395721924,15000.984977257951,0.9732694234501361,28051.84190747237
2017-11-24,1.8754,100,14700,53.21531406633252,15054.200291324283,0.9764716634248312,28232.64722634956
2017-11-25,2.0528,100,14800,48.616523772408414,15102.816815096692,0.9799496465590447,31003.06235803049
2017-11-26,2.4577,100,14900,40.607071652357895,15143.42388674905,0.983925439281796,37217.99288646314
2017-11-27,2.8585,100,15000,34.91341612733951,15178.337302876389,0.9882505376367811,43387.277180272155
2017-11-28,2.7997,100,15100,35.64667642961746,15213.983979306007,0.9925079466718877,42594.59094686303
2017-11-29,2.7404,100,15200,36.41804116187417,15250.402020467882,0.9966950366029541,41792.20169689019
2017-11-30,2.825,100,15300,35.32743362831858,15285.729454096201,1.0009335861887818,43182.18570782177
2017-12-01,3.2223,100,15400,30.971666201160662,15316.701120297363,1.0054384347548737,49355.0060199342
2017-12-02,3.9101,100,15500,25.523643896575535,15342.224764193938,1.010283726006562,59989.63305047472
2017-12-03,3.5799,100,15600,27.87787368362245,15370.10263787756,1.014957438316377,55023.430433337875
2017-12-04,4.0373,100,15700,24.71949074876774,15394.822128626329,1.0198234100286354,62153.51537990308
2017-12-05,4.25,100,15800,23.482352941176472,15418.304481567506,1.0247559982285217,65527.7940466619
2017-12-06,4.446,100,15900,22.44714349977508,15440.751625067282,1.029742617852045,68649.58172504912
2017-12-07,3.861,100,16000,25.848225848225848,15466.599850915507,1.0344872275888692,59716.54202438478
2017-12-08,4.2197,100,16100,23.650970448136125,15490.250821363643,1.0393634154584128,65364.21139090816
2017-12-09,4.01,100,16200,24.88778054862843,15515.138601912271,1.0441414940375278,62215.7057936682
2017-12-10,3.6969,100,16300,26.99559090048419,15542.134192812755,1.048762016707957,57457.71589740947
2017-12-11,4.3487,100,16400,22.94938717317819,15565.083579985932,1.0536403428689345,67687.87896428483
2017-12-12,5.0991,100,16500,19.57208134768881,15584.655661333622,1.0587336902757112,79467.71768270626
2017-12-13,7.2787,100,16600,13.711239644442003,15598.366900978064,1.0642139722305886,113535.83316214904
2017-12-14,8.2,100,16700,12.170731707317072,15610.537632685382,1.0697901887141605,128006.40858802012
2017-12-15,7.9322,100,16800,12.581629308388594,15623.11926199377,1.075329434427939,123925.70660998698
2017-12-16,8.35,100,16900,11.952095808383234,15635.071357802153,1.0809032855207679,130552.84583764797
2017-12-17,7.9713,100,17000,12.519915195764806,15647.591272997917,1.0864291956127363,124731.6443144483
2017-12-18,8.8832,100,17100,11.234690201729107,15658.825963199646,1.092035893379702,139100.4827962951
2017-12-19,11.502,100,17200,8.676751869240132,15667.502715068886,1.0978137558232028,180207.61622872233
2017-12-20,10.45,100,17300,9.55023923444976,15677.052954303335,1.1035237330911207,163825.20337246984
2017-12-21,10.65,100,17400,9.370892018779344,15686.423846322115,1.1092394398153187,167060.41396333053
2017-12-22,7.6721,100,17500,13.008172469076262,15699.43201879119,1.1146900078329998,120447.6123913679
2017-12-23,8.2556,100,17600,12.088763990503416,15711.520782781694,1.1201970988886,129708.03097433255
2017-12-24,7.9985,100,17700,12.477339501156468,15723.99812228285,1.1256679034397055,125768.39898107937
2017-12-25,8.1538,100,17800,12.239691922784468,15736.237814205635,1.1311471147145054,128310.13588946991
2017-12-26,8.599,100,17900,11.606000697755553,15747.84381490339,1.1366635464761126,135415.70896435424
2017-12-27,8.7071,100,18000,11.46191039496503,15759.305725298354,1.142182296210211,137217.8508807453
2017-12-28,8.1,100,18100,12.320987654320987,15771.626712952675,1.1476305094854367,127750.17637491666
2017-12-29,8.12,100,18200,12.29064039408867,15783.917353346764,1.1530724339570202,128165.4089091757
2017-12-30,7.08,100,18300,14.096045197740112,15798.013398544505,1.1583734953463205,111849.93486169509
2017-12-31,7.6883,100,18400,12.980762977511285,15810.994161522016,1.1637471883190398,121559.6664120297
2018-01-01,7.631,100,18500,13.078233521163673,15824.07239504318,1.1691048636629748,120753.49644657451
2018-01-02,8.295,100,18600,12.031344183242918,15836.103739226422,1.174531330830281,131360.48051688317
2018-01-03,9.43,100,18700,10.583244962884413,15846.686984189308,1.18005738478065,149434.25826090516
2018-01-04,9.4706,100,18800,10.537875108229679,15857.224859297537,1.1855794545901914,150177.43375246326
2018-01-05,9.2892,100,18900,10.743659303276925,15867.968518600814,1.1910787431828445,147400.73316298667
2018-01-06,9.8285,100,19000,10.15414356208984,15878.122662162903,1.196615015783726,156058.1285850681
2018-01-07,10.165,100,19100,9.818002951303493,15887.940665114207,1.2021696456821898,161500.9168608859
2018-01-08,9.5985,100,19200,10.397457936135856,15898.338123050344,1.2076733965144892,152600.19847409872
2018-01-09,9.2294,100,19300,10.813270635144212,15909.151393685488,1.2131382449261483,146831.92187288083
2018-01-10,11.2,100,19400,8.910714285714286,15918.062107971202,1.2187413184099318,178282.29560927744
2018-01-11,11.272,100,19500,8.853797019162528,15926.915904990365,1.224342497714205,179528.1960810514
2018-01-12,13.802,100,19600,7.230836110708593,15934.146741101073,1.2300627274533065,219923.093320677
2018-01-13,16.0,100,19700,6.2375,15940.384241101072,1.2358547762735257,255046.14785761715
2018-01-14,13.23,100,19800,7.543461829176114,15947.927702930248,1.2415406169895025,210991.0835097672
2018-01-15,12.78,100,19900,7.809076682316119,15955.736779612565,1.2472003189114536,203914.31604344858
2018-01-16,10.0,100,20000,9.98,15965.716779612565,1.2526841278769905,159657.16779612564
2018-01-17,10.15,100,20100,9.832512315270936,15975.549291927837,1.258172700838285,162151.82531306756
2018-01-18,10.182,100,20200,9.801610685523473,15985.35090261336,1.2636569646211275,162762.84289040923
2018-01-19,11.065,100,20300,9.019430637144149,15994.370333250505,1.269196572108786,176977.70773741681
2018-01-20,15.509,100,20400,6.4349732413437355,16000.805306491848,1.2749358303686946,248156.48949838209
2018-01-21,13.477,100,20500,7.4052088743785704,16008.210515366227,1.2805928545431184,215742.65311559066
2018-01-22,13.384,100,20600,7.456664674237896,16015.667180040466,1.286240514892365,214353.6895376616
2018-01-23,12.876,100,20700,7.750854302578441,16023.418034343043,1.2918591998057858,206317.530610201
2018-01-24,13.899,100,20800,7.18037268868264,16030.598407031726,1.297518624811673,222809.28725933394
2018-01-25,14.251,100,20900,7.003017332117044,16037.601424363844,1.3031873936116998,228551.85789860913
2018-01-26,14.241,100,21000,7.007934836036796,16044.60935919988,1.308850812747194,228491.28188436548
2018-01-27,14.38,100,21100,6.9401947148817795,16051.549553914761,1.3145148341677697,230821.28258529428
2018-01-28,14.752,100,21200,6.765184381778742,16058.31473829654,1.3201883476253802,236892.25901935057
2018-01-29,13.537,100,21300,7.372386791755928,16065.687125088296,1.3258069719743117,217481.20661232027
2018-01-30,11.364,100,21400,8.782118972192889,16074.469244060489,1.331303676350452,182670.26848950342
2018-01-31,11.973,100,21500,8.335421364737325,16082.804665425227,1.3368315071450594,192559.42025913624
2018-02-01,10.02,100,21600,9.960079840319363,16092.764745265546,1.3422180925347007,161249.50274756076
2018-02-02,10.222,100,21700,9.7632557229505,16102.528000988495,1.3476144862886057,164600.0412261044
2018-02-03,10.642,100,21800,9.37793647810562,16111.905937466601,1.353036697496248,171462.90298651956
2018-02-04,8.89,100,21900,11.22609673790776,16123.13203420451,1.3582968838523508,143334.6437840781
2018-02-05,7.0473,100,22000,14.161451903565906,16137.293486108076,1.3633017221220451,113724.34838464943
2018-02-06,8.2806,100,22100,12.052266743955752,16149.345752852032,1.3684764905164695,133726.27244106654
2018-02-07,7.665,100,22200,13.020221787345074,16162.365974639377,1.373561274063115,123884.53519561082
2018-02-08,8.304,100,22300,12.01830443159923,16174.384279070977,1.3787232710215331,134312.08705340538
2018-02-09,9.473,100,22400,10.535205320384248,16184.919484391361,1.3840044135902205,153319.74227563938
2018-02-10,8.8971,100,22500,11.21713816861674,16196.136622559978,1.3892201902433463,144098.64714457837
2018-02-11,8.3262,100,22600,11.986260238764382,16208.122882798742,1.394362577543436,134952.07274675887
2018-02-12,9.1299,100,22700,10.931116441582056,16219.053999240323,1.399588410092428,148078.34110766422
2018-02-13,8.9264,100,22800,11.180319053593834,16230.234318293917,1.4047856335814555,144877.5636188188
2018-02-14,9.8503,100,22900,10.131671116615736,16240.365989410533,1.410066744489124,159972.47710549057
2018-02-15,9.831,100,23000,10.15156138744787,16250.51755079798,1.4153395378395557,159758.83804189492
2018-02-16,9.84,100,23100,10.142276422764228,16260.659827220745,1.4206065587406258,160004.89269985212
2018-02-17,10.013,100,23200,9.967042844302407,16270.626870065047,1.4258823698233607,162917.78684996133
2018-02-18,9.05,100,23300,11.027624309392264,16281.65449437444,1.4310584964231066,147348.9731740887
2018-02-19,9.4831,100,23400,10.523984772911811,16292.178479147351,1.4362720142030163,154500.35773560224
2018-02-20,8.86,100,23500,11.26410835214447,16303.442587499496,1.4414133624771,144448.5013252455
2018-02-21,8.293,100,23600,12.034245749427228,16315.476833248924,1.446479330098776,135304.2493781333
2018-02-22,7.7559,100,23700,12.867623357701879,16328.344456606626,1.4514637453284935,126641.00677099533
2018-02-23,8.237,100,23800,12.116061672939177,16340.460518279566,1.4565072981496254,134596.37328906878
2018-02-24,7.8827,100,23900,12.660636583911604,16353.121154863478,1.4614947063418564,128906.74812744233
2018-02-25,7.6788,100,24000,12.996822420169819,16366.117977283648,1.4664442742813089,125672.14672396568
2018-02-26,7.985,100,24100,12.498434564809017,16378.616411848456,1.471430760327583,130783.25204860992
2018-02-27,8.38,100,24200,11.909307875894987,16390.52571972435,1.4764627086291522,137352.6055312901
2018-02-28,8.1755,100,24300,12.207204452327074,16402.73292417668,1.4814604439595067,134100.54302160643
2018-03-01,8.5451,100,24400,11.679207967139064,16414.412132143818,1.4864985601414418,140262.79311038213
2018-03-02,8.0061,100,24500,12.465495060016737,16426.877627203834,1.4914581185791889,131515.22497115663
2018-03-03,7.903,100,24600,12.628115905352399,16439.50574310919,1.496395353024003,129921.4138877919
2018-03-04,8.1373,100,24700,12.264510341267988,16451.770253450457,1.5013581893911767,133872.9900834024
2018-03-05,7.9293,100,24800,12.586230814826024,16464.35648426528,1.5062841978489083,130550.82187068468
2018-03-06,7.12,100,24900,14.016853932584269,16478.373338197867,1.5110714807195376,117326.01816796881
2018-03-07,6.41,100,25000,15.569422776911077,16493.94276097478,1.5157079397141378,105726.17309784834
2018-03-08,6.089,100,25100,16.390211857447856,16510.332972832228,1.5202600723620825,100531.41747157545
2018-03-09,5.9975,100,25200,16.640266777824095,16526.97323961005,1.5247801055067591,99120.52200456128
2018-03-10,5.6337,100,25300,17.714823295525143,16544.688062905578,1.5291917202551848,93207.80913999115
2018-03-11,6.0394,100,25400,16.524820346392026,16561.21288325197,1.5337040939608066,100019.78908711195
2018-03-12,5.7148,100,25500,17.46342829145377,16578.676311543422,1.5381203855367407,94743.81938520835
