candle_begin_time,open,high,low,close,volume
2020-08-12 00:00:00,11392.09,11420.0,11364.99,11409.35,779.637866
2020-08-12 00:15:00,11409.48,11415.37,11355.68,11356.67,527.723015
2020-08-12 00:30:00,11356.67,11388.01,11348.86,11361.9,694.951536
2020-08-12 00:45:00,11361.9,11377.61,11310.0,11336.06,857.096739
2020-08-12 01:00:00,11336.05,11367.48,11330.67,11365.94,539.756502
2020-08-12 01:15:00,11365.94,11394.48,11364.29,11387.84,482.680022
2020-08-12 01:30:00,11387.83,11394.99,11363.57,11383.9,510.974594
2020-08-12 01:45:00,11383.9,11385.62,11336.0,11350.02,532.77103
2020-08-12 02:00:00,11350.0,11358.45,11281.7,11286.76,952.020744
2020-08-12 02:15:00,11286.75,11299.94,11219.16,11262.98,1184.318122
2020-08-12 02:30:00,11262.98,11287.73,11245.48,11272.71,460.872844
2020-08-12 02:45:00,11272.71,11296.98,11235.43,11249.72,625.660293
2020-08-12 03:00:00,11249.16,11288.25,11237.33,11288.25,408.459665
2020-08-12 03:15:00,11288.25,11312.54,11286.18,11295.33,513.013779
2020-08-12 03:30:00,11295.33,11328.32,11265.02,11325.7,562.558286
2020-08-12 03:45:00,11325.54,11380.89,11312.92,11380.89,927.489421
2020-08-12 04:00:00,11380.89,11396.33,11350.0,11352.47,565.027688
2020-08-12 04:15:00,11352.47,11361.77,11321.74,11322.62,400.610055
2020-08-12 04:30:00,11322.62,11333.22,11303.42,11317.63,405.046993
2020-08-12 04:45:00,11317.62,11330.78,11304.28,11313.62,466.942693
2020-08-12 05:00:00,11313.61,11349.29,11283.24,11338.61,564.090345
2020-08-12 05:15:00,11338.6,11346.78,11260.0,11283.63,580.422335
2020-08-12 05:30:00,11283.63,11298.92,11260.0,11284.18,689.772925
2020-08-12 05:45:00,11284.18,11295.49,11258.22,11260.62,810.977416
2020-08-12 06:00:00,11260.62,11276.77,11150.0,11274.5,1955.942562
2020-08-12 06:15:00,11274.5,11320.76,11263.0,11306.81,1053.848617
2020-08-12 06:30:00,11307.02,11335.0,11271.11,11322.98,832.65039
2020-08-12 06:45:00,11322.98,11365.78,11313.26,11332.0,841.913039
2020-08-12 07:00:00,11332.0,11345.74,11314.76,11333.39,468.637803
2020-08-12 07:15:00,11333.45,11380.61,11333.23,11370.26,565.449042
2020-08-12 07:30:00,11370.39,11393.84,11350.14,11380.72,756.30195
2020-08-12 07:45:00,11380.68,11476.41,11380.68,11446.91,1665.391195
2020-08-12 08:00:00,11446.91,11470.0,11430.33,11434.11,1073.13257
2020-08-12 08:15:00,11434.11,11483.31,11419.99,11470.37,907.437681
2020-08-12 08:30:00,11470.37,11490.46,11434.41,11436.39,867.629662
2020-08-12 08:45:00,11436.4,11451.0,11422.22,11427.19,539.330573
2020-08-12 09:00:00,11427.19,11470.0,11425.77,11456.99,576.575789
2020-08-12 09:15:00,11456.99,11469.14,11438.09,11468.99,477.915795
2020-08-12 09:30:00,11468.98,11490.36,11441.95,11487.0,721.703822
2020-08-12 09:45:00,11487.0,11509.03,11472.67,11474.34,866.583698
2020-08-12 10:00:00,11474.68,11488.66,11455.02,11474.97,599.670077
2020-08-12 10:15:00,11474.97,11529.85,11474.96,11529.16,1088.559287
2020-08-12 10:30:00,11529.21,11536.0,11500.0,11506.4,907.987802
2020-08-12 10:45:00,11506.4,11515.57,11476.22,11515.25,585.358415
2020-08-12 11:00:00,11515.24,11519.65,11485.0,11510.89,609.12905
2020-08-12 11:15:00,11510.89,11525.0,11456.0,11472.09,778.664423
2020-08-12 11:30:00,11472.09,11484.86,11452.02,11474.61,657.903091
2020-08-12 11:45:00,11474.61,11477.65,11430.37,11460.44,903.244524
2020-08-12 12:00:00,11460.44,11477.46,11421.55,11440.0,801.051349
2020-08-12 12:15:00,11439.99,11487.62,11439.66,11481.55,634.360817
2020-08-12 12:30:00,11481.55,11499.98,11468.14,11493.68,705.276853
2020-08-12 12:45:00,11493.3,11510.57,11476.16,11509.8,698.585322
2020-08-12 13:00:00,11509.8,11517.13,11481.81,11493.98,690.560126
2020-08-12 13:15:00,11493.56,11493.56,11470.99,11477.92,606.458696
2020-08-12 13:30:00,11477.95,11498.1,11474.48,11498.1,622.500417
2020-08-12 13:45:00,11498.1,11574.99,11495.35,11559.2,1466.207525
2020-08-12 14:00:00,11559.19,11576.19,11539.55,11544.09,1024.762344
2020-08-12 14:15:00,11544.08,11561.74,11533.0,11534.34,808.335097
2020-08-12 14:30:00,11534.24,11575.0,11530.0,11546.25,761.964285
2020-08-12 14:45:00,11546.88,11596.39,11546.2,11584.32,824.756306
2020-08-12 15:00:00,11584.32,11617.52,11566.01,11573.02,1181.814096
2020-08-12 15:15:00,11573.02,11587.45,11555.0,11580.08,728.830702
2020-08-12 15:30:00,11580.08,11581.22,11541.94,11552.98,649.74593
2020-08-12 15:45:00,11553.36,11586.52,11551.68,11581.45,574.929753
2020-08-12 16:00:00,11581.54,11615.0,11558.32,11563.59,919.666675
2020-08-12 16:15:00,11563.59,11593.0,11545.63,11572.13,688.290345
2020-08-12 16:30:00,11572.12,11572.89,11535.08,11546.94,741.794467
2020-08-12 16:45:00,11546.94,11574.3,11542.86,11547.9,532.426452
2020-08-12 17:00:00,11547.89,11556.0,11503.0,11521.01,822.634703
2020-08-12 17:15:00,11521.01,11540.0,11470.0,11508.69,1013.866791
2020-08-12 17:30:00,11507.79,11524.26,11485.15,11490.71,518.009657
2020-08-12 17:45:00,11490.72,11539.39,11485.01,11531.94,452.632645
2020-08-12 18:00:00,11531.94,11551.86,11514.45,11550.09,570.93656
2020-08-12 18:15:00,11550.09,11550.2,11519.8,11525.12,474.699926
2020-08-12 18:30:00,11525.12,11535.42,11496.02,11502.1,661.813018
2020-08-12 18:45:00,11502.1,11520.73,11485.98,11511.99,469.005321
2020-08-12 19:00:00,11511.99,11544.22,11510.42,11542.3,488.168442
2020-08-12 19:15:00,11542.28,11563.0,11519.33,11561.55,564.725427
2020-08-12 19:30:00,11561.55,11577.0,11546.78,11575.21,567.615856
2020-08-12 19:45:00,11575.21,11591.0,11565.01,11568.98,637.532374
2020-08-12 20:00:00,11568.98,11595.0,11565.0,11575.52,599.321445
2020-08-12 20:15:00,11575.53,11579.35,11544.51,11545.81,438.113659
2020-08-12 20:30:00,11545.81,11559.99,11538.15,11539.38,405.771749
2020-08-12 20:45:00,11539.38,11565.14,11538.48,11559.99,274.469939
2020-08-12 21:00:00,11559.99,11564.26,11515.0,11527.36,455.005701
2020-08-12 21:15:00,11527.36,11529.63,11495.59,11527.36,520.189711
2020-08-12 21:30:00,11527.36,11538.24,11507.61,11509.4,409.28918
2020-08-12 21:45:00,11509.31,11523.12,11482.57,11498.72,341.227893
2020-08-12 22:00:00,11498.71,11577.93,11498.71,11570.14,491.977395
2020-08-12 22:15:00,11570.15,11583.0,11551.07,11552.06,415.455787
2020-08-12 22:30:00,11552.18,11566.18,11537.14,11540.11,375.541783
2020-08-12 22:45:00,11540.11,11555.0,11535.48,11544.29,354.72206
2020-08-12 23:00:00,11543.26,11574.9,11537.49,11557.43,428.574468
2020-08-12 23:15:00,11557.42,11580.09,11555.6,11580.0,381.687847
2020-08-12 23:30:00,11580.0,11587.97,11564.9,11571.18,436.293498
2020-08-12 23:45:00,11571.17,11585.53,11560.01,11564.33,334.177487
